id;code;name;address;phone
1;visionary;synthesizing scalable Barbados;and Rubber Sleek;(579) 690-7267
2;quantifying payment ;Legacy Cheese Re-contextualized;Profound GB;806-317-5106 x4631
3;Incredible;IB;24/365 Netherlands granular;880-212-2919
4;Glens;Russian District;Wooden;373-798-7193 x8727
5;Kroon Refined;Wooden Checking vortals;Towels;685-718-2685
6;Refined Interactions;Tasty copying Frozen;RSS Kwanza;1-438-383-3528
7;help-desk;value-added Guernsey payment;Orchestrator multi-byte Cotton;1-672-275-8378 x930
8;Profound Personal;web-readiness Somoni;District;(462) 580-0615 x258
9;Tasty;Synergized driver;lime indexing Plastic;1-435-216-1085 x1124
10;quantifying;Franc Assistant Frozen;Practical;(793) 948-8874
